id,anchors_preserved,head_text,max_consonant_run,survey_terms,family,L,phase,offset,notes
A-mag_ne_plus_1989-L_int_phase41-beaufort,False,UIAUSZRBKKYITDIMQUST,7,,beaufort,59,41,19,
A-mag_ne_plus_1989-L_int_phase41-variant_beaufort,False,WKUCGBLDWYMEVNKIGEUV,8,,variant_beaufort,59,41,19,
A-mag_ne_plus_1989-L_round_phase48-vigenere,False,DPXDFYGWNNZPMCXTPLGF,20,,vigenere,60,48,15,
A-mag_ne_plus_1989-L_round_phase48-beaufort,False,XLDXVCUENNBLOYDHLPUV,6,,beaufort,60,48,15,
A-mag_ne_plus_1989-L_round_phase48-variant_beaufort,False,ZNXFJEOGZBPHQIFDBZWX,6,,variant_beaufort,60,48,15,
A-mag_ene_minus_1989-L_int-vigenere,False,WIQWYRZPGGSIXNIEAWRQ,9,,vigenere,48,0,18,
A-mag_ene_minus_1989-L_int-beaufort,False,ESKECJBLUUISDNSWAEJK,5,,beaufort,48,0,18,
A-mag_ene_minus_1989-L_int-variant_beaufort,False,GUEMQLVNGIWOFXUSQOLM,6,,variant_beaufort,48,0,18,
A-mag_ene_minus_1989-L_round-vigenere,False,WIQWYRZPGGSIXNIEAWRQ,9,,vigenere,49,0,18,
A-mag_ene_minus_1989-L_round-beaufort,False,ESKECJBLUUISDNSWAEJK,5,,beaufort,49,0,18,
A-mag_ene_minus_1989-L_round-variant_beaufort,False,GUEMQLVNGIWOFXUSQOLM,6,,variant_beaufort,49,0,18,
A-mag_ene_minus_1989-L_int_phase41-vigenere,False,GSAGIBJVMMYODTOKGCXW,6,,vigenere,48,41,19,
A-mag_ene_minus_1989-L_int_phase41-beaufort,False,UIAUSZRFOOCMXHMQUYDE,6,,beaufort,48,41,19,
A-mag_ene_minus_1989-L_int_phase41-variant_beaufort,False,WKUCGBLHACQIZROMKIFG,5,,variant_beaufort,48,41,19,
A-mag_ene_minus_1989-L_round_phase48-vigenere,False,DMUACVDTKKWMBRMIEAVU,11,,vigenere,49,48,15,
A-mag_ene_minus_1989-L_round_phase48-beaufort,False,XOGAYFXHQQEOZJOSWAFG,6,,beaufort,49,48,15,
A-mag_ene_minus_1989-L_round_phase48-variant_beaufort,False,ZQAIMHRJCESKBTQOMKHI,5,,variant_beaufort,49,48,15,
A-offset_only-L_int-vigenere,False,WIQWYRZPGGSIXNIEQMHG,9,,vigenere,16,0,18,
A-offset_only-L_int-beaufort,False,ESKECJBLUUISDNSWKOTU,6,,beaufort,16,0,18,
A-offset_only-L_int-variant_beaufort,False,GUEMQLVNGIWOFXUSAYVW,6,,variant_beaufort,16,0,18,
A-offset_only-L_round-vigenere,False,WIQWYRZPGGSIXNIEANIH,9,,vigenere,17,0,18,
A-offset_only-L_round-beaufort,False,ESKECJBLUUISDNSWANST,5,,beaufort,17,0,18,
A-offset_only-L_round-variant_beaufort,False,GUEMQLVNGIWOFXUSQXUV,6,,variant_beaufort,17,0,18,
A-offset_only-L_int_phase41-vigenere,False,MYGMOHPVMMYODTOKGCXW,6,,vigenere,16,41,19,
A-offset_only-L_int_phase41-beaufort,False,OCUOMTLFOOCMXHMQUYDE,6,,beaufort,16,41,19,
A-offset_only-L_int_phase41-variant_beaufort,False,QEOWAVFHACQIZROMKIFG,3,,variant_beaufort,16,41,19,
A-offset_only-L_round_phase48-vigenere,False,LXFCEXFVMMYODTOKGCXW,6,,vigenere,17,48,15,
A-offset_only-L_round_phase48-beaufort,False,PDVYWDVFOOCMXHMQUYDE,8,,beaufort,17,48,15,
A-offset_only-L_round_phase48-variant_beaufort,False,RFPGKFPHACQIZROMKIFG,8,,variant_beaufort,17,48,15,
B-angle61-quad_L,False,IVELOIRIABOFVMIFCZVV,5,,vigenere,1,1,6,
B-angle61-ref_angle_L,False,FRZFHAIYPPBRGWRNJFAZ,11,,vigenere,61,0,9,
B-angle61-complement_L,False,QCKQSLTJAAMCRHCYUQLK,8,,vigenere,28,0,24,
B-angle61-supplement_L,False,XJRXZSAQHHTJYOJFBXSR,6,,vigenere,97,0,17,
B-angle50-quad_L,False,IVELOIRIABOFVMIFCZVV,5,,vigenere,1,1,6,
B-angle50-ref_angle_L,False,QCKQSLTJAAMCRHCYUQLK,8,,vigenere,50,0,24,
B-angle50-complement_L,False,HTBHJCKARRDTIYTPLHCB,7,,vigenere,39,0,7,
B-angle50-supplement_L,False,AMUACVDTKKWMBRMIEAVU,11,,vigenere,97,0,14,
B-angle67-quad_L,False,IVELOIRIABOFVMIFCZVV,5,,vigenere,1,1,6,
B-angle67-ref_angle_L,False,ZLTZBUCSJJVLAQLHDZUT,6,,vigenere,67,0,15,
B-angle67-complement_L,False,HTBHJCKARRDTIYTPLHCB,7,,vigenere,22,0,7,
B-angle67-supplement_L,False,WIQWYRZPGGSIXNIEAWRQ,9,,vigenere,97,0,18,
B-angle22-quad_L,False,IVELOIRIABOFVMIFCZVV,5,,vigenere,1,1,6,
B-angle22-ref_angle_L,False,SEMSUNVLCCOETJEAWSNM,5,,vigenere,22,0,22,
B-angle22-complement_L,False,BNVBDWEULLXNCSNJFBWV,12,,vigenere,67,0,13,
B-angle22-supplement_L,False,IUCIKDLBSSEUJZUQMIDC,6,,vigenere,97,0,6,
B-angle112-quad_L,False,COYEIBLBUUIYPFCYWSPO,8,,vigenere,2,2,12,
B-angle112-ref_angle_L,False,ZLTZBUCSJJVLAQLHDZUT,6,,vigenere,67,0,15,
B-angle112-complement_L,False,EQYEGZHXOOAQFVQMIEZY,5,,vigenere,97,0,10,
B-angle112-supplement_L,False,JVDJLEMCTTFVKAVRNJED,7,,vigenere,67,0,5,
C-langley_1990-pre_caesar,False,EQYEGZHXOOAQFVQMIEZY,5,,caesar_vigenere,52,N/A,N/A,
C-langley_1990-post_caesar,False,YKSYATBRIIUKZPKGCYTS,9,,vigenere_caesar,61,N/A,N/A,
C-berlin_1989-pre_caesar,False,QCKQSLTJAAMCRHCYUQLK,8,,caesar_vigenere,63,N/A,N/A,
C-berlin_1989-post_caesar,False,MYGMOHPFWWIYNDYUQMHG,5,,vigenere_caesar,61,N/A,N/A,
D-5_rods_ne-cols16,False,FLNNIVXHRLRAJTIXYODW,6,,columnar_vigenere,25,N/A,9,
D-5_rods_ne-cols17,False,FMPQNADOAUBMWGWNEVLF,6,,columnar_vigenere,25,N/A,9,
D-5_rods_ne-cols5,False,FYMYGETPMSJGBXYZCEFK,11,,columnar_vigenere,25,N/A,9,
D-5_rods_ne-cols25,False,FOTWVLQCQNWJVHZSLEWR,15,,columnar_vigenere,25,N/A,9,
D-5_rods_ene-cols16,False,QWYYTGISCWCLUETIJZOH,6,,columnar_vigenere,25,N/A,24,
D-5_rods_ene-cols17,False,QXABYLOZLFMXHRHYPGWQ,13,,columnar_vigenere,25,N/A,24,
D-5_rods_ene-cols5,False,QJXJRPEAXDURMIJKNPQV,6,,columnar_vigenere,25,N/A,24,
D-5_rods_ene-cols25,False,QZEHGWBNBYHUGSKDWPHC,8,,columnar_vigenere,25,N/A,24,
D-mag_5_rods_ne-cols4,False,HUDKMGPGXYLCRIEBXUQQ,11,,columnar_vigenere,25,N/A,7,
D-mag_5_rods_ne-cols5,False,HAOAIGVROULIDZABEGHM,3,,columnar_vigenere,25,N/A,7,
D-mag_5_rods_ne-cols16,False,HNPPKXZJTNTCLVKZAQFY,16,,columnar_vigenere,25,N/A,7,
D-mag_5_rods_ne-cols17,False,HORSPCFQCWDOYIYPGXNH,9,,columnar_vigenere,25,N/A,7,
D-mag_5_rods_ne-cols25,False,HQVYXNSESPYLXJBUNGYT,7,,columnar_vigenere,25,N/A,7,
D-mag_5_rods_ene-cols4,False,SFOVXRARIJWNCTPMIFBB,7,,columnar_vigenere,25,N/A,22,
D-mag_5_rods_ene-cols5,False,SLZLTRGCZFWTOKLMPRSX,12,,columnar_vigenere,25,N/A,22,
D-mag_5_rods_ene-cols16,False,SYAAVIKUEYENWGVKLBQJ,9,,columnar_vigenere,25,N/A,22,
D-mag_5_rods_ene-cols17,False,SZCDANQBNHOZJTJARIYS,5,,columnar_vigenere,25,N/A,22,
D-mag_5_rods_ene-cols25,False,SBGJIYDPDAJWIUMFYRJE,5,,columnar_vigenere,25,N/A,22,
E-angle61-arc_length,False,KYQKIPHRAAOYJTYCGKPQ,9,,beaufort,27,0,24,
E-angle61-chord,False,KYQKIPHRAAOYJTYCGKPQ,9,,beaufort,61,0,24,
E-angle61-sector,False,DRJDBIAKTTHRCMRVZDIJ,11,,beaufort,61,17,0,
E-angle50-arc_length,False,THZTRYQAJJXHSCHLPTYZ,12,,beaufort,23,0,7,
E-angle50-chord,False,THZTRYQAJJXHSCHLPTYZ,12,,beaufort,50,0,7,
E-angle50-sector,False,AOGAYFXHQQEOZJOSWAFG,6,,beaufort,50,14,0,
E-angle45-arc_length,False,KYQKIPHRAAOYJTYCGKPQ,9,,beaufort,20,0,24,
E-angle45-chord,False,KYQKIPHRAAOYJTYCGKPQ,9,,beaufort,45,0,24,
E-angle45-sector,False,YMEYWDVFOOCMXHMQUYDE,6,,beaufort,45,12,0,
E-angle90-arc_length,False,XLDXVCUENNBLWGLPTXCD,12,,beaufort,40,0,11,
E-angle90-chord,False,XLDXVCUENNBLWGLPTXCD,12,,beaufort,90,0,11,
E-angle90-sector,False,LZRLJQISBBPZKUZDHLQR,6,,beaufort,90,25,0,
E-angle135-arc_length,False,OCUOMTLVEESCNXCGKOTU,7,,beaufort,61,0,2,
E-angle135-chord,False,OCUOMTLVEESCNXCGKOTU,7,,beaufort,97,0,2,
E-angle135-sector,False,XLDXVCUENNBLWGLPTXCD,12,,beaufort,97,11,0,
H-columnar17_vigenere61,False,GNQRXLOZLGNYITSJAWMG,6,,hybrid,N/A,N/A,N/A,
H-railfence5_beaufort50,False,XZOHCLCNGVGPWJNSHZBB,17,,hybrid,N/A,N/A,N/A,
H-route5x20_affine,False,CPOTKCBCAXKLPQCLUDPP,7,,hybrid,N/A,N/A,N/A,
