label,context_pass,overall,coherence,fluency,instructional_fit,semantic_specificity,repetition_penalty,notes,model_id,prompt_sha256,seed,elapsed_ms
HEAD_98_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1084563889822139836,10
HEAD_99_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,5830597171308371393,10
HEAD_100_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16668170407185810124,10
HEAD_101_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8268242604864596709,10
HEAD_102_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1311363314173505345,10
HEAD_103_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6403546326510748989,10
HEAD_104_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16038573695580817237,10
HEAD_105_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10562037834914903515,10
HEAD_106_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6290678678951510287,10
HEAD_107_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3418304931836275404,10
HEAD_108_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10922168960121905713,10
HEAD_109_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2641367473184882307,10
HEAD_110_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6009709836502884843,10
HEAD_111_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8735896297961192771,10
HEAD_112_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10755472135605944587,10
HEAD_113_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,11989441750540041885,10
HEAD_114_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,5811500888345182778,10
HEAD_115_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1044385026171112719,10
HEAD_116_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,846975897550772545,10
HEAD_117_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,624519710192288163,10
HEAD_118_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,15044280461987793543,10
HEAD_119_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2296243145195817761,10
HEAD_120_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7461781124567845532,10
HEAD_121_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3591969824155174522,10
HEAD_122_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,582845491346061426,10
HEAD_123_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8930018026205236717,10
HEAD_124_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2205703311254843506,10
HEAD_125_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,18199125350008150840,10
HEAD_126_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,11911747572726677630,10
HEAD_127_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16703185331808947755,10
HEAD_128_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14243303300394619528,10
HEAD_129_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,132127645683707593,10
HEAD_130_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4857783608552268251,10
HEAD_131_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3146106090779007328,10
HEAD_132_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14749697593439955345,10
HEAD_133_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7502921542416427449,10
HEAD_134_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,673209242173803730,10
HEAD_135_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10824799866277002858,10
HEAD_136_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,15225979068145058853,10
HEAD_137_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9347649927343424093,10
HEAD_138_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7012835595369988544,10
HEAD_139_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9470182328699287890,10
HEAD_140_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7986372813833439709,10
HEAD_141_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,61995667292272694,10
HEAD_142_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6778477749204249523,10
HEAD_143_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10679506954245792772,10
HEAD_144_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6956951404017695013,10
HEAD_145_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,18171404759328016205,10
HEAD_146_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6209145428674542934,10
HEAD_147_B,False,2,2,2,4,1,0,Function-word salad pattern detected,mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12719430714641376045,10
HEAD_148_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3477916707107936450,10
HEAD_149_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3357282115416075887,10
HEAD_150_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17071788222457838410,10
HEAD_151_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3077878666315112507,10
