label,head_0_74,head_sha256,seed,content_ratio,np_count,unique_content_types,passes_generation,context_pass,context_overall,context_coherence,context_fluency,context_instructional_fit,context_semantic_specificity
HEAD_026_v52,FOLLOW THE LINE TO THE QUADRANT THEN READ THE ARC THEN NOTE THEN NOTE,a51d606f451c626d4e33f7c67171b491cb19f18780e38b73e695a8205113aae0,27337,0.5714285714285714,3,7,True,True,5,5,5,4,4
HEAD_027_v52,TRACE THE DISTANCE THEN SET THE ROSE THEN MARK THEN MARK THEN MARK,1eb44ab99b84db2e03b88a65927810bac0e01947679ae0522c3a85bc3faaa8fa,28337,0.5384615384615384,2,5,True,True,5,5,5,4,4
HEAD_028_v52,OBSERVE THE PLATE THEN REDUCE THE PLINTH TO VARIATION AT STATION,26e94dd379221c1dec2ba33b6d6cb5af82d72658e7dc178113b77b7508b55ae7,29337,0.7272727272727273,2,8,True,True,4,5,5,3,4
HEAD_029_v52,TRACE THE DISTANCE THEN SET THE STATION THEN NOTE AT STATION,ede414bfae4d91946ec9b7811df47b8bf2042acb205e2b924764ef02f2966e25,30337,0.6363636363636364,2,6,True,True,5,5,5,4,4
HEAD_030_v52,NOTE THE PLATE AT THE YARD THEN SIGHT AND READ THEN MARK THEN NOTE,03fdc7258de0c464f407261d30f2fb5c1a87f9f48e753bceadaa0b47d30eab7b,31337,0.5714285714285714,2,7,True,True,5,5,5,4,4
HEAD_031_v52,SET THE ANGLE TO TRUE RING THEN READ THE COURSE AND READ AT STATION,1e44076b804ec0a596c0df7ee01ea7e556f931004ea6592180bfdb55bd847c91,32337,0.7142857142857143,2,9,True,True,5,5,5,4,4
HEAD_032_v52,BRING THE POLE TO GRID THEN READ THE QUADRANT AT STATION THEN NOTE,d9d164e16b0a00dafd6b2ccedebb475de074224e2dd6c3cf9dff2702a04a2335,33337,0.6923076923076923,2,9,True,True,5,5,5,4,4
HEAD_033_v52,TRACE THE PLINTH THEN SET THE DISTANCE THEN NOTE AND READ THEN NOTE,a069ac193395ddb3ea89da59792faf21ee72e437c2be114c2db64925567de958,34337,0.5384615384615384,2,6,True,True,5,5,5,4,4
HEAD_034_v52,SIGHT THE QUADRANT THEN NOTE THE DISTANCE AND READ AND READ AND READ,69e9a7267e6ae01a18d131c55694bb7297e6f41ec5874c2a3dda14961d673a98,35337,0.5384615384615384,2,5,True,True,5,5,5,4,4
HEAD_035_v52,OBSERVE THE RING THEN REDUCE THE DISTANCE TO ARCSECOND AND READ,2e7efde02c1abda1716e69abee7107945fcc98732e77547b3b1853041b513c06,36337,0.6363636363636364,2,7,True,True,5,5,5,4,4
HEAD_036_v52,SET THE ARC TO MAGNETIC YARD THEN READ THE RING THEN MARK AT STATION,5043fbb6e2425a0f34327f37c12f8563ba2133a0c47ddf78c97d15cc151e749a,37337,0.7142857142857143,2,10,True,True,5,5,5,4,4
HEAD_037_v52,OBSERVE THE RING THEN REDUCE THE COURSE TO MINUTES AND READ THEN NOTE,df0b998160c228e443eeeb4bf9bfd341eb7067430e7c0d8a17127f379c967e05,38337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_038_v52,BRING THE STONE TO QUADRANT THEN SIGHT THE ROSE THEN NOTE AND READ,41285970c54ed3768074c7d1df0b59999cc928070e0118a73ce971d40d95f087,39337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_039_v52,MARK THE MARKER THEN ADJUST THE CIRCLE AT STATION AT STATION,9287afa2ea91e68f740580c80fcafe2f6a43149f529a6b28a43301fd874a146e,40337,0.7272727272727273,2,6,True,True,4,5,5,3,4
HEAD_040_v52,SIGHT THE PLINTH THEN NOTE THE QUADRANT THEN NOTE AT STATION,4bfa8fd3871336a8749682ad21d981b695cf989c8aa094182bf3f23f3585186c,41337,0.6363636363636364,2,6,True,True,4,5,5,3,4
HEAD_041_v52,OBSERVE THE RING THEN REDUCE THE YARD TO DECLINATION THEN MARK,7b59a9c232a3f96f1f4614760bc60773d5dc84e13f4965c02e5e8a65fe26cd11,42337,0.6363636363636364,2,7,True,True,4,5,5,3,4
HEAD_042_v52,OBSERVE THE PLINTH THEN REDUCE THE PLATE TO ARCMINUTE AT STATION,30bb6d89339a9e8c956e4e6b1ee32c8e4632c02487d8631085c65a515c1e53ef,43337,0.7272727272727273,2,8,True,True,4,5,5,3,4
HEAD_043_v52,TRACE THE DISTANCE THEN SET THE STATION THEN MARK AND READ AND READ,d17ae608b917fb2f8b249f4cf8c018c3500cc535b7b68f15d4fe4f6cd78cbbd3,44337,0.5384615384615384,2,6,True,True,5,5,5,4,4
HEAD_044_v52,SET THE ARC TO DEGREES CIRCLE THEN READ THE DISTANCE THEN NOTE,cdb20a8a4bf8cad8bd65e3f964ec4aed52678a6112845ab536da683ce1979cf9,45337,0.6666666666666666,2,8,True,True,5,5,5,4,4
HEAD_045_v52,NOTE THE STATION AT THE YARD THEN MARK THEN MARK AND READ AT STATION,7aacbc8044735b2d4e6f95510277fdec6c3c5ccc687d5e234c275d8d604f33d4,46337,0.6428571428571429,2,6,True,True,5,5,5,4,4
HEAD_046_v52,NOTE THE YARD AT THE COURSE THEN REDUCE AND READ THEN MARK THEN NOTE,95ad481db1489c85af474d75183d92807c3dd7ca2c7287fa7833984fa9eecd15,47337,0.5714285714285714,2,7,True,True,5,5,5,4,4
HEAD_047_v52,SIGHT THE QUADRANT THEN NOTE THE ROSE THEN MARK THEN NOTE AND READ,be5d99606a272a7fa9c4c5888b06c11f33edf2d86b824cbe657a58e250c44262,48337,0.5384615384615384,2,6,True,True,5,5,5,4,4
HEAD_048_v52,NOTE THE PLATE AT THE STATION THEN CORRECT THEN NOTE AND READ,649b6e7ce73a441b3e3957d4694d5d154502de421e608314f9a4fceb2708806d,49337,0.5833333333333334,2,6,True,True,5,5,5,4,4
HEAD_049_v52,SET THE ANGLE TO DECLINATION CIRCLE THEN READ THE ROSE THEN MARK,e49446cb6929e297b515bdb6546a20124c44342118471e14cf727dfdb84059fa,50337,0.6666666666666666,2,8,True,True,5,5,5,4,4
HEAD_050_v52,SET THE ANGLE TO VARIATION YARD THEN READ THE LINE AT STATION,71dd53b607c9c1fbb256e5c7d7dba2f1f5c8f7e6bc40bf41edc6184aee96c968,51337,0.75,2,9,True,True,5,5,5,4,4
HEAD_051_v52,SIGHT THE SECTOR THEN NOTE THE GRID AT STATION AND READ AT STATION,08286c036ab80b22f70566ea350291d2ecce6b39d021b480e58829e80dc07061,52337,0.6923076923076923,2,7,True,True,5,5,5,4,4
HEAD_052_v52,TRACE THE PLINTH THEN SET THE DISTANCE THEN MARK AT STATION THEN MARK,44a919482cf62f11790c2b3d61d7080181a527d6a54ed9fd0734f1436a623662,53337,0.6153846153846154,2,7,True,True,5,5,5,4,4
HEAD_053_v52,OBSERVE THE PLATE THEN REDUCE THE QUADRANT TO DECLINATION THEN NOTE,ed37aa3cf19d3344555f8c38276f054b4fefb425d4b07a538b9e64e0516fd978,54337,0.6363636363636364,2,7,True,True,4,5,5,3,4
HEAD_054_v52,TRACE THE DISTANCE THEN SET THE ANGLE THEN NOTE AND READ THEN NOTE,545fc5fce8e175d4db6a1f1f2add030ece06fd397ef2ad24f5da5809439a98bc,55337,0.5384615384615384,2,6,True,True,5,5,5,4,4
HEAD_055_v52,BRING THE STONE TO STONE THEN SET THE ANGLE THEN NOTE THEN NOTE,72955925c5aa59f54e92df1053d12612cfbc04b6dbcdd16f5576f42b8d904089,56337,0.6153846153846154,2,6,True,True,5,5,5,4,4
HEAD_056_v52,BRING THE POLE TO POLE THEN MARK THE POLE THEN MARK AT STATION,624f7d1d77b8527724679f6987a5fd0187dcf065f553f0fa5504f25b2e15de16,57337,0.6923076923076923,2,6,True,True,4,5,5,3,4
HEAD_057_v52,OBSERVE THE PLATE THEN REDUCE THE POLE TO DEGREES THEN NOTE THEN MARK,80610d4e792cc98ad3684feab24cb710cc4914d9edaf6c1d5c3dcd77f63079bf,58337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_058_v52,SIGHT THE QUADRANT THEN NOTE THE MERIDIAN AND READ AND READ THEN MARK,279e151185e989e1f2d6353dd9e934b8cac62358c7435c945f42c05bebf2cfc2,59337,0.5384615384615384,2,6,True,True,5,5,5,4,4
HEAD_059_v52,MARK THE MARKER THEN ADJUST THE STONE AT STATION AT STATION THEN NOTE,a8abe93ef46404528bca9ed54d33c85d786a9592ad3495f26fc3d7f3785c67cf,60337,0.6923076923076923,2,7,True,True,4,5,5,3,4
HEAD_060_v52,MARK THE ROSE THEN ADJUST THE STONE AND READ THEN NOTE AT STATION,9431484736384bcd791c4dcfa8e160137f3fcfdae958bd3a4a0156adec2ea064,61337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_061_v52,FOLLOW THE DISTANCE AT THE MERIDIAN THEN READ THE STONE AND READ,46ada6c20e626526630abe0e1b85eab272c7cc57c66c464fcc960aff0f469943,62337,0.5833333333333334,3,6,True,True,5,5,5,4,4
HEAD_062_v52,OBSERVE THE PLATE THEN REDUCE THE LINE TO DECLINATION THEN MARK,6ec6041c94366aa136f1e7c23ca22de3d86add7bb489f166943194931c96c5db,63337,0.6363636363636364,2,7,True,True,5,5,5,4,4
HEAD_063_v52,SIGHT THE SECTOR THEN NOTE THE POLE AND READ AT STATION THEN MARK,d54015361ca3756e15be2f98f955f8a5e108311a43eda0601bf4583f5f76f769,64337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_064_v52,TRACE THE DISTANCE THEN SET THE SECTOR THEN NOTE THEN MARK THEN MARK,b0e9dfd83f1e16e329ad37dab951bc6c5cfad9c030184a5e5134ade2191a5498,65337,0.5384615384615384,2,6,True,True,5,5,5,4,4
HEAD_065_v52,MARK THE SECTOR THEN ADJUST THE ROSE AT STATION THEN NOTE AND READ,d5943191893fb16446d81296a2480ca3bfe661de7b854e9896ec2985a0c2dcfb,66337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_066_v52,SIGHT THE QUADRANT THEN NOTE THE PLATE AT STATION THEN NOTE AT STATION,28fae3366d1111d607860f8c927b68a29b06c69a900797740f75beb1d00a9f3c,67337,0.6923076923076923,2,6,True,True,4,5,5,3,4
HEAD_067_v52,TRACE THE STATION THEN SET THE MERIDIAN THEN NOTE THEN NOTE AND READ,ee3394704b6ee8294f2562b55350f30ea44dca473c4676d2897bf7a1e29a1c9d,68337,0.5384615384615384,2,6,True,True,5,5,5,4,4
HEAD_068_v52,NOTE THE YARD AT THE MARKER THEN NOTE THEN MARK AND READ AND READ,3c17ecd873553a8c38f88d66875c092a228e155769ef9318fc3612683095ba53,69337,0.5714285714285714,2,6,True,True,5,5,5,4,4
HEAD_069_v52,FOLLOW THE PLINTH ALONG THE POLE THEN READ THE GRID THEN NOTE,9047e4354a1411070f9c76ed00b18bdcae8b7191fbcaef0bd72c894e193551ce,70337,0.5833333333333334,3,7,True,True,5,5,5,4,4
HEAD_070_v52,FOLLOW THE LINE ALONG THE BEARING THEN READ THE PLATE AND READ,bfd83aaa88ee6ad018daa737116f43de5abf1d3943d74e0558fa7b7c828f8f6f,71337,0.5833333333333334,3,6,True,True,5,5,5,4,4
HEAD_071_v52,MARK THE MARKER THEN ADJUST THE COURSE AND READ THEN MARK AT STATION,119e68745c9b18c472c8a7ac9c1ad37885aebb11f62f7449d463988afd38997d,72337,0.6153846153846154,2,7,True,True,5,5,5,4,4
HEAD_072_v52,OBSERVE THE SECTOR THEN REDUCE THE MARKER TO DEGREES AND READ,bb2eca27bdf8886c2b9e13ba94195ab4735554607fe9c539a484fac90793a551,73337,0.6363636363636364,2,7,True,True,5,5,5,4,4
HEAD_073_v52,SIGHT THE SECTOR THEN NOTE THE ANGLE THEN NOTE AND READ AT STATION,b738bf63cae5e1a6531ca1a924f63a44ab2eb8f806e23162276d35aebfb3671a,74337,0.6153846153846154,2,7,True,True,5,5,5,4,4
HEAD_074_v52,NOTE THE QUADRANT AT THE ANGLE THEN MARK THEN MARK AT STATION,cde54c922ca60662b39d84fb687236e7382ee55a13d722d5ed01cc3aca662b1b,75337,0.6666666666666666,2,6,True,True,5,5,5,4,4
HEAD_075_v52,SIGHT THE PLATE THEN NOTE THE QUADRANT THEN NOTE AND READ AND READ,13884271aa34215558da954261f18ab398ede94145f73151394d4f90d66cfa31,76337,0.5384615384615384,2,5,True,True,5,5,5,4,4
HEAD_076_v52,FOLLOW THE LINE ACROSS THE ROSE THEN READ THE PLATE AND READ,9e57e588694eb2f1bfa14cd128c7f25c4b5d732935aaf956aa753edf03826918,77337,0.5833333333333334,3,6,True,True,5,5,5,4,4
HEAD_077_v52,OBSERVE THE RING THEN REDUCE THE STATION TO TRUE AND READ AND READ,753aeb222bdf208d6448bb38ede88578827fbb7d4a46465dab8381570a56df6d,78337,0.6153846153846154,2,7,True,True,5,5,5,4,4
HEAD_078_v52,SIGHT THE POLE THEN NOTE THE MARKER AT STATION THEN NOTE AND READ,e9aab6e80d5629cba44164c2caaa0b5778ea4dfed40fbf1f7fc33f3268379e8d,79337,0.6153846153846154,2,7,True,True,5,5,5,4,4
HEAD_079_v52,SET THE ANGLE TO ARCSECOND PLATE THEN READ THE ARC THEN NOTE,b20f718a61301f5508fac09352aff8a999e8e38ce9be0c028fdf10050dde2888,80337,0.6666666666666666,2,8,True,True,5,5,5,4,4
HEAD_080_v52,TRACE THE COURSE THEN SET THE GRID AT STATION THEN NOTE AND READ,79ac7a3ac4c869bb6538168c3e2034e51abef25484904cae69df00a2e61efe98,81337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_081_v52,MARK THE ROSE THEN ADJUST THE STATION AND READ THEN MARK THEN MARK,0656936cda326a60828e1df9f50b1d502af9e1c053a467a299f074e467610e3e,82337,0.5384615384615384,2,5,True,True,5,5,5,4,4
HEAD_082_v52,BRING THE POLE TO BEARING THEN ALIGN THE GRID AND READ AT STATION,084eb8dc423f06b5a0f80b6bac1fdaad26fa199d965a41862a4a1321c1b045a4,83337,0.6923076923076923,2,9,True,True,5,5,5,4,4
HEAD_083_v52,SET THE ARC TO DEGREES DIAL THEN READ THE RING THEN NOTE THEN MARK,a4a2eb9f70734bbfad72dbaff6161838b9879dac2a70f72f271a2f2ac4e08d89,84337,0.6428571428571429,2,9,True,True,5,5,5,4,4
HEAD_084_v52,TRACE THE COURSE THEN SET THE QUADRANT THEN NOTE AND READ THEN MARK,bbdfb9990192d24f37eac427843181228df0d89c233759f4b9472703495f2608,85337,0.5384615384615384,2,7,True,True,5,5,5,4,4
HEAD_085_v52,MARK THE MARKER THEN ADJUST THE BEARING AND READ AND READ THEN MARK,5ad23b5897678d3cc411ab4743551dc7d313cae9fa08551e6794f0eae63fb985,86337,0.5384615384615384,2,5,True,True,5,5,5,4,4
HEAD_086_v52,SIGHT THE SECTOR THEN NOTE THE COURSE AND READ AND READ AT STATION,64aad8738d86627178be978a2c6bc86fab9183989e3a910c913295d0140bfc80,87337,0.6153846153846154,2,7,True,True,5,5,5,4,4
HEAD_087_v52,SIGHT THE SECTOR THEN NOTE THE STONE AND READ THEN NOTE AT STATION,59610f310ba20082ef1a25caf21e8e987b88d27fbd14e452e7f5f70ad77340cf,88337,0.6153846153846154,2,7,True,True,5,5,5,4,4
HEAD_088_v52,NOTE THE PLATE AT THE PLINTH THEN CORRECT THEN MARK THEN MARK,0426cb75b31b1083461744835d4a8883ca5cde101906c83f2024fd1c27b951a4,89337,0.5833333333333334,2,6,True,True,4,5,5,3,4
HEAD_089_v52,OBSERVE THE RING THEN REDUCE THE STONE TO SECONDS AND READ THEN NOTE,170eb3beec198ee0b75be5f1bfdb22ea726776a28ea223e670b5178cd394fd78,90337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_090_v52,BRING THE PLINTH TO STONE THEN FOLLOW THE MERIDIAN AND READ THEN NOTE,8b7b4c050879363dd85561665ef2ed619a0c5d12056b4f6987fe37ba329e7e85,91337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_091_v52,TRACE THE COURSE THEN SET THE STATION THEN NOTE THEN MARK AND READ,3931be3b695ed6172a8cf1f88d633536dc6bd7f66a92c32cebbbce624156ed5b,92337,0.5384615384615384,2,7,True,True,5,5,5,4,4
HEAD_092_v52,OBSERVE THE PLATE THEN REDUCE THE STONE TO ARCSECOND AT STATION,4583a46580c37559520f26b518453dd98587c9734f60552cf6e04964f2cca169,93337,0.7272727272727273,2,8,True,True,4,5,5,3,4
HEAD_093_v52,SIGHT THE PLINTH THEN NOTE THE QUADRANT THEN NOTE AND READ THEN NOTE,176b66828dea851eaf700c92d088e6491fd879dd8472ba5405d2cdb69c213c2b,94337,0.5384615384615384,2,5,True,True,5,5,5,4,4
HEAD_094_v52,FOLLOW THE DIAL UNTIL THE PLINTH THEN READ THE RING AT STATION,c1016a30cbf24a55083e8666abccab10560009c2ae4cc33365fde87feb21748e,95337,0.6666666666666666,3,8,True,True,5,5,5,4,4
HEAD_095_v52,OBSERVE THE RING THEN REDUCE THE SECTOR TO ARCMINUTE THEN NOTE,54a73d69a7c0d3ebac75dce570684ad44465536a01c6fbc7b889e2834302b99f,96337,0.6363636363636364,2,7,True,True,4,5,5,3,4
HEAD_096_v52,BRING THE CIRCLE TO PLINTH THEN APPLY THE COURSE THEN NOTE AT STATION,0bf5ba4534f1a97003abdeafedaa11952b7c5c07bcb517c34b885b2a86f192ce,97337,0.6923076923076923,2,9,True,True,4,5,5,3,4
HEAD_097_v52,OBSERVE THE RING THEN REDUCE THE ARC TO MAGNETIC THEN NOTE THEN MARK,df493375a12fda1c5ee8684fa6b1b7a8e0aa2c77eb2ef2e68cf1612d941dbae1,98337,0.6153846153846154,2,8,True,True,4,5,5,3,4
HEAD_098_v52,SIGHT THE ANGLE THEN NOTE THE DISTANCE THEN NOTE THEN NOTE AT STATION,9a5903c8eb64026d62f853879751bbcfaf55dd30544b7a9ee12c2e1e152eb5f0,99337,0.6153846153846154,2,6,True,True,5,5,5,4,4
HEAD_099_v52,TRACE THE COURSE THEN SET THE RING AT STATION AND READ THEN MARK,9514828dc90a577cfbe64535acee3fe225cd7ec9d7455b60ef1f982e5c6ba3ea,100337,0.6153846153846154,2,8,True,True,5,5,5,4,4
