id,datetime,mask,base_bearing,anchors_passed,head_text,max_cc_run,survey_terms,config
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Tri-off_alpha_floor-phase41,1989-11-09T17:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Tri
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Light-off_alpha_round-phase41,1989-11-09T17:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Light
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Swap-off_alpha_round-phase41,1989-11-09T17:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Swap
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Tri-off_alpha_round-phase41,1989-11-09T17:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Tri
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Light-off_alpha_floor-phase0,1989-11-09T17:53,Bzones,true_ne_plus,False,WIQWYRZPGGSIXNIEAWRQ,9,,S-Light
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Swap-off_alpha_floor-phase0,1989-11-09T17:53,Bzones,true_ne_plus,False,ESKECJBLUUISDNSWAEJK,5,,S-Swap
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Tri-off_alpha_floor-phase0,1989-11-09T17:53,Bzones,true_ne_plus,False,WIQWYRZPGGSIXNIEAWRQ,9,,S-Tri
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Light-off_alpha_round-phase0,1989-11-09T17:53,Bzones,true_ne_plus,False,WIQWYRZPGGSIXNIEAWRQ,9,,S-Light
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Swap-off_alpha_round-phase0,1989-11-09T17:53,Bzones,true_ne_plus,False,ESKECJBLUUISDNSWAEJK,5,,S-Swap
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Tri-off_alpha_round-phase0,1989-11-09T17:53,Bzones,true_ne_plus,False,WIQWYRZPGGSIXNIEAWRQ,9,,S-Tri
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Light-off_alpha_floor-phase41,1989-11-09T17:53,Bzones,true_ne_plus,False,HTBHJCKARRDTIYTPLHCB,7,,S-Light
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Swap-off_alpha_floor-phase41,1989-11-09T17:53,Bzones,true_ne_plus,False,THZTRYQAJJXHSCHLPTYZ,12,,S-Swap
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Tri-off_alpha_floor-phase41,1989-11-09T17:53,Bzones,true_ne_plus,False,HTBHJCKARRDTIYTPLHCB,7,,S-Tri
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Light-off_alpha_round-phase41,1989-11-09T17:53,Bzones,true_ne_plus,False,HTBHJCKARRDTIYTPLHCB,7,,S-Light
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Swap-off_alpha_round-phase41,1989-11-09T17:53,Bzones,true_ne_plus,False,THZTRYQAJJXHSCHLPTYZ,12,,S-Swap
HSH-1989-11-09T17:53-Bzones-true_ne_plus-S-Tri-off_alpha_round-phase41,1989-11-09T17:53,Bzones,true_ne_plus,False,HTBHJCKARRDTIYTPLHCB,7,,S-Tri
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Light-off_alpha_floor-phase0,1989-11-09T17:53,Bzones,true_ene_minus,False,UGOUWPXNEEQGVLGCYUPO,7,,S-Light
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Swap-off_alpha_floor-phase0,1989-11-09T17:53,Bzones,true_ene_minus,False,GUMGELDNWWKUFPUYCGLM,6,,S-Swap
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Tri-off_alpha_floor-phase0,1989-11-09T17:53,Bzones,true_ene_minus,False,UGOUWPXNEEQGVLGCYUPO,7,,S-Tri
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Light-off_alpha_round-phase0,1989-11-09T17:53,Bzones,true_ene_minus,False,TFNTVOWMDDPFUKFBXTON,6,,S-Light
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Swap-off_alpha_round-phase0,1989-11-09T17:53,Bzones,true_ene_minus,False,HVNHFMEOXXLVGQVZDHMN,12,,S-Swap
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Tri-off_alpha_round-phase0,1989-11-09T17:53,Bzones,true_ene_minus,False,TFNTVOWMDDPFUKFBXTON,6,,S-Tri
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Light-off_alpha_floor-phase41,1989-11-09T17:53,Bzones,true_ene_minus,False,FRZFHAIYPPAQFVQMIEZY,5,,S-Light
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Swap-off_alpha_floor-phase41,1989-11-09T17:53,Bzones,true_ene_minus,False,VJBVTASCLLAKVFKOSWBC,5,,S-Swap
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Tri-off_alpha_floor-phase41,1989-11-09T17:53,Bzones,true_ene_minus,False,FRZFHAIYPPAQFVQMIEZY,5,,S-Tri
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Light-off_alpha_round-phase41,1989-11-09T17:53,Bzones,true_ene_minus,False,EQYEGZHXOOZPEUPLHDYX,6,,S-Light
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Swap-off_alpha_round-phase41,1989-11-09T17:53,Bzones,true_ene_minus,False,WKCWUBTDMMBLWGLPTXCD,15,,S-Swap
HSH-1989-11-09T17:53-Bzones-true_ene_minus-S-Tri-off_alpha_round-phase41,1989-11-09T17:53,Bzones,true_ene_minus,False,EQYEGZHXOOZPEUPLHDYX,6,,S-Tri
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Light-off_alpha_floor-phase0,1989-11-09T18:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Light
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Swap-off_alpha_floor-phase0,1989-11-09T18:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Swap
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Tri-off_alpha_floor-phase0,1989-11-09T18:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Tri
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Light-off_alpha_round-phase0,1989-11-09T18:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Light
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Swap-off_alpha_round-phase0,1989-11-09T18:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Swap
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Tri-off_alpha_round-phase0,1989-11-09T18:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Tri
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Light-off_alpha_floor-phase41,1989-11-09T18:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Light
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Swap-off_alpha_floor-phase41,1989-11-09T18:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Swap
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Tri-off_alpha_floor-phase41,1989-11-09T18:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Tri
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Light-off_alpha_round-phase41,1989-11-09T18:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Light
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Swap-off_alpha_round-phase41,1989-11-09T18:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Swap
HSH-1989-11-09T18:53-Azones-true_ne_plus-S-Tri-off_alpha_round-phase41,1989-11-09T18:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Tri
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Light-off_alpha_floor-phase0,1989-11-09T18:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Light
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Swap-off_alpha_floor-phase0,1989-11-09T18:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Swap
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Tri-off_alpha_floor-phase0,1989-11-09T18:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Tri
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Light-off_alpha_round-phase0,1989-11-09T18:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Light
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Swap-off_alpha_round-phase0,1989-11-09T18:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Swap
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Tri-off_alpha_round-phase0,1989-11-09T18:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Tri
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Light-off_alpha_floor-phase41,1989-11-09T18:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Light
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Swap-off_alpha_floor-phase41,1989-11-09T18:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Swap
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Tri-off_alpha_floor-phase41,1989-11-09T18:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Tri
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Light-off_alpha_round-phase41,1989-11-09T18:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Light
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Swap-off_alpha_round-phase41,1989-11-09T18:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Swap
HSH-1989-11-09T18:53-Azones-true_ene_minus-S-Tri-off_alpha_round-phase41,1989-11-09T18:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Tri
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Light-off_alpha_floor-phase0,1989-11-09T18:53,Bzones,true_ne_plus,False,WIQWYRZPGGSIXNIEAWRQ,9,,S-Light
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Swap-off_alpha_floor-phase0,1989-11-09T18:53,Bzones,true_ne_plus,False,ESKECJBLUUISDNSWAEJK,5,,S-Swap
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Tri-off_alpha_floor-phase0,1989-11-09T18:53,Bzones,true_ne_plus,False,WIQWYRZPGGSIXNIEAWRQ,9,,S-Tri
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Light-off_alpha_round-phase0,1989-11-09T18:53,Bzones,true_ne_plus,False,WIQWYRZPGGSIXNIEAWRQ,9,,S-Light
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Swap-off_alpha_round-phase0,1989-11-09T18:53,Bzones,true_ne_plus,False,ESKECJBLUUISDNSWAEJK,5,,S-Swap
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Tri-off_alpha_round-phase0,1989-11-09T18:53,Bzones,true_ne_plus,False,WIQWYRZPGGSIXNIEAWRQ,9,,S-Tri
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Light-off_alpha_floor-phase41,1989-11-09T18:53,Bzones,true_ne_plus,False,HTBHJCKARRDTIYTPLHCB,7,,S-Light
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Swap-off_alpha_floor-phase41,1989-11-09T18:53,Bzones,true_ne_plus,False,THZTRYQAJJXHSCHLPTYZ,12,,S-Swap
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Tri-off_alpha_floor-phase41,1989-11-09T18:53,Bzones,true_ne_plus,False,HTBHJCKARRDTIYTPLHCB,7,,S-Tri
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Light-off_alpha_round-phase41,1989-11-09T18:53,Bzones,true_ne_plus,False,HTBHJCKARRDTIYTPLHCB,7,,S-Light
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Swap-off_alpha_round-phase41,1989-11-09T18:53,Bzones,true_ne_plus,False,THZTRYQAJJXHSCHLPTYZ,12,,S-Swap
HSH-1989-11-09T18:53-Bzones-true_ne_plus-S-Tri-off_alpha_round-phase41,1989-11-09T18:53,Bzones,true_ne_plus,False,HTBHJCKARRDTIYTPLHCB,7,,S-Tri
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Light-off_alpha_floor-phase0,1989-11-09T18:53,Bzones,true_ene_minus,False,UGOUWPXNEEQGVLGCYUPO,7,,S-Light
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Swap-off_alpha_floor-phase0,1989-11-09T18:53,Bzones,true_ene_minus,False,GUMGELDNWWKUFPUYCGLM,6,,S-Swap
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Tri-off_alpha_floor-phase0,1989-11-09T18:53,Bzones,true_ene_minus,False,UGOUWPXNEEQGVLGCYUPO,7,,S-Tri
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Light-off_alpha_round-phase0,1989-11-09T18:53,Bzones,true_ene_minus,False,TFNTVOWMDDPFUKFBXTON,6,,S-Light
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Swap-off_alpha_round-phase0,1989-11-09T18:53,Bzones,true_ene_minus,False,HVNHFMEOXXLVGQVZDHMN,12,,S-Swap
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Tri-off_alpha_round-phase0,1989-11-09T18:53,Bzones,true_ene_minus,False,TFNTVOWMDDPFUKFBXTON,6,,S-Tri
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Light-off_alpha_floor-phase41,1989-11-09T18:53,Bzones,true_ene_minus,False,FRZFHAIYPPAQFVQMIEZY,5,,S-Light
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Swap-off_alpha_floor-phase41,1989-11-09T18:53,Bzones,true_ene_minus,False,VJBVTASCLLAKVFKOSWBC,5,,S-Swap
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Tri-off_alpha_floor-phase41,1989-11-09T18:53,Bzones,true_ene_minus,False,FRZFHAIYPPAQFVQMIEZY,5,,S-Tri
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Light-off_alpha_round-phase41,1989-11-09T18:53,Bzones,true_ene_minus,False,EQYEGZHXOOZPEUPLHDYX,6,,S-Light
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Swap-off_alpha_round-phase41,1989-11-09T18:53,Bzones,true_ene_minus,False,WKCWUBTDMMBLWGLPTXCD,15,,S-Swap
HSH-1989-11-09T18:53-Bzones-true_ene_minus-S-Tri-off_alpha_round-phase41,1989-11-09T18:53,Bzones,true_ene_minus,False,EQYEGZHXOOZPEUPLHDYX,6,,S-Tri
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Light-off_alpha_floor-phase0,1989-11-09T19:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Light
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Swap-off_alpha_floor-phase0,1989-11-09T19:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Swap
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Tri-off_alpha_floor-phase0,1989-11-09T19:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Tri
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Light-off_alpha_round-phase0,1989-11-09T19:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Light
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Swap-off_alpha_round-phase0,1989-11-09T19:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Swap
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Tri-off_alpha_round-phase0,1989-11-09T19:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Tri
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Light-off_alpha_floor-phase41,1989-11-09T19:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Light
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Swap-off_alpha_floor-phase41,1989-11-09T19:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Swap
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Tri-off_alpha_floor-phase41,1989-11-09T19:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Tri
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Light-off_alpha_round-phase41,1989-11-09T19:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Light
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Swap-off_alpha_round-phase41,1989-11-09T19:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Swap
HSH-1989-11-09T19:53-Azones-true_ne_plus-S-Tri-off_alpha_round-phase41,1989-11-09T19:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Tri
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Light-off_alpha_floor-phase0,1989-11-09T19:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Light
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Swap-off_alpha_floor-phase0,1989-11-09T19:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Swap
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Tri-off_alpha_floor-phase0,1989-11-09T19:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Tri
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Light-off_alpha_round-phase0,1989-11-09T19:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Light
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Swap-off_alpha_round-phase0,1989-11-09T19:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Swap
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Tri-off_alpha_round-phase0,1989-11-09T19:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Tri
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Light-off_alpha_floor-phase41,1989-11-09T19:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Light
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Swap-off_alpha_floor-phase41,1989-11-09T19:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Swap
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Tri-off_alpha_floor-phase41,1989-11-09T19:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Tri
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Light-off_alpha_round-phase41,1989-11-09T19:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Light
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Swap-off_alpha_round-phase41,1989-11-09T19:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Swap
HSH-1989-11-09T19:53-Azones-true_ene_minus-S-Tri-off_alpha_round-phase41,1989-11-09T19:53,Azones,true_ene_minus,False,MUEMQLVHACQIZLIGECZU,5,,S-Tri
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Light-off_alpha_floor-phase0,1989-11-09T19:53,Bzones,true_ne_plus,False,WEQQYVZXGGSEXZIIAQRW,9,,S-Light
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Swap-off_alpha_floor-phase0,1989-11-09T19:53,Bzones,true_ne_plus,False,EWKKCFBDUUIWDBSSAKJE,7,,S-Swap
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Tri-off_alpha_floor-phase0,1989-11-09T19:53,Bzones,true_ne_plus,False,WEQQYVZXGGSEXZIIAQRW,9,,S-Tri
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Light-off_alpha_round-phase0,1989-11-09T19:53,Bzones,true_ne_plus,False,WEQQYVZXGGSEXZIIAQRW,9,,S-Light
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Swap-off_alpha_round-phase0,1989-11-09T19:53,Bzones,true_ne_plus,False,EWKKCFBDUUIWDBSSAKJE,7,,S-Swap
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Tri-off_alpha_round-phase0,1989-11-09T19:53,Bzones,true_ne_plus,False,WEQQYVZXGGSEXZIIAQRW,9,,S-Tri
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Light-off_alpha_floor-phase41,1989-11-09T19:53,Bzones,true_ne_plus,False,HNBZJEKGRPDNIITRLZCF,6,,S-Light
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Swap-off_alpha_floor-phase41,1989-11-09T19:53,Bzones,true_ne_plus,False,TNZBRWQUJLXNSSHJPBYV,12,,S-Swap
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Tri-off_alpha_floor-phase41,1989-11-09T19:53,Bzones,true_ne_plus,False,HNBZJEKGRPDNIITRLZCF,6,,S-Tri
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Light-off_alpha_round-phase41,1989-11-09T19:53,Bzones,true_ne_plus,False,HNBZJEKGRPDNIITRLZCF,6,,S-Light
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Swap-off_alpha_round-phase41,1989-11-09T19:53,Bzones,true_ne_plus,False,TNZBRWQUJLXNSSHJPBYV,12,,S-Swap
HSH-1989-11-09T19:53-Bzones-true_ne_plus-S-Tri-off_alpha_round-phase41,1989-11-09T19:53,Bzones,true_ne_plus,False,HNBZJEKGRPDNIITRLZCF,6,,S-Tri
HSH-1989-11-09T19:53-Bzones-true_ene_minus-S-Light-off_alpha_floor-phase0,1989-11-09T19:53,Bzones,true_ene_minus,False,UGOSWXXZEIQGVBGKYSPY,10,,S-Light
HSH-1989-11-09T19:53-Bzones-true_ene_minus-S-Swap-off_alpha_floor-phase0,1989-11-09T19:53,Bzones,true_ene_minus,False,GUMIEDDBWSKUFZUQCILC,6,,S-Swap
HSH-1989-11-09T19:53-Bzones-true_ene_minus-S-Tri-off_alpha_floor-phase0,1989-11-09T19:53,Bzones,true_ene_minus,False,UGOSWXXZEIQGVBGKYSPY,10,,S-Tri
HSH-1989-11-09T19:53-Bzones-true_ene_minus-S-Light-off_alpha_round-phase0,1989-11-09T19:53,Bzones,true_ene_minus,False,THNTVYWADJPHUCFLXTOZ,7,,S-Light
HSH-1989-11-09T19:53-Bzones-true_ene_minus-S-Swap-off_alpha_round-phase0,1989-11-09T19:53,Bzones,true_ene_minus,False,HTNHFCEAXRLTGYVPDHMB,12,,S-Swap
HSH-1989-11-09T19:53-Bzones-true_ene_minus-S-Tri-off_alpha_round-phase0,1989-11-09T19:53,Bzones,true_ene_minus,False,THNTVYWADJPHUCFLXTOZ,7,,S-Tri
